,MULTI_VALUE_PICKLIST_1__C
Complimentary Parking (new for 2024),220
Flexible Ticket Exchange Program,216
20% Discount on all Concessions & Merchandise,153
Member-only Payment Plans,105
Invitation to the 'Meet the Players Event' and other Exclusive Member-only events,87
Pre-sale opportunities for Fire matches & other events,74
Member-only Entrance (new for 2024),64
Exclusive 2024 Member gift,47
Early Entrance on Select Matches,23
Member discounts on groups of 10+ and suites,9
