Manager (* means still there),Rehired,Age,Year Hired,Team,Race,Race (B/W/O),Black,Country of Origin (Birthplace),Number of Matches (MLS),Wins (MLS),Draws (MLS),Losses (MLS),Points accrued,Tenure (Seasons),Experience-Post Tenure,Head Coaching Experience (Yrs),Assistant Coach Experience (Yrs),Rehire?,Average Total Squad Compensation,Former Player?,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Leagues Played,Rating,Avg Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Leagues Head Coached,Rating,Avg Coach Rating
Ben Olsen,1,33,2010,DCU,W,W,0,USA,334,113,84,137,423,10,10,0,1,0,"$6,083,439.51",TRUE,MLS,69.3,EFL,75.4,FTI,76.8,,0,,0,,0,,0,,0,27.6875,USL,58.4,,0,,0,,0,,0,,0,9.733333333
Carlos de los Cobos,0,52,2010,CHI,NW,O,0,Mexico,41,10,15,16,45,1,18,17,2,0,"$4,285,893.50",TRUE,MLX,80,FTI,76.8,FTI,76.8,,0,,0,,0,,0,,0,29.2,NCAA D1,0,U23,66.3,MLS,69.3,FTI,76.8,,0,,0,35.4
Curt Onalfo,1,41,2010,DCU,W,W,0,Brazil,18,3,12,3,21,1,4,3,5,1,"$2,881,530.44",TRUE,FN3,51.7,USISL,0,MLS,69.3,MAX,72.2,USL,58.4,FTI,76.8,,0,,0,41.05,NCAA D1,0,U23,66.3,MLS,69.3,FTI,76.8,,0,,0,35.4
Hans Backe,0,58,2010,NYRB,W,W,0,Sweden,98,41,31,26,154,3,28,25,2,0,"$15,254,164.86",TRUE,SDO,51,,0,NER,78.4,,0,,0,,0,,0,,0,16.175,NCAA D1,0,U23,66.3,,0,,0,,0,,0,11.05
Martin Vasquez,0,47,2010,Chivas,NW,O,0,Mexico,30,8,4,18,28,1,1,0,10,0,"$2,477,548 ",TRUE,MISL,0,WSA,0,FTI,76.8,MLX,80,MLS,69.3,USL,58.4,FTI,76.8,,0,45.1625,NCAA D1,0,U23,66.3,MLS,69.3,,0,,0,,0,22.6
Piotr Nowak,0,46,2010,PHI,W,W,0,Poland,75,21,24,30,87,1,6,5,2,1,"$3,270,897.00",TRUE,PIL,64.7,TSL,80.8,MISL,0,GBL,90.3,MLS,69.3,FTI,76.8,,0,,0,47.7375,None,0,,0,,0,,0,,0,,0,0
Preki,0,47,2010,TOR,W,W,0,Serbia,24,7,7,10,28,1,4,3,1,1,"$5,214,381.05",TRUE,SDO,51,SBS,70.9,MLS,69.3,MLS,69.3,EPL,93.8,EFL,75.4,FTI,76.8,,0,63.3125,MLX,80,,0,,0,,0,,0,,0,13.33333333
Aron Winter,0,44,2011,TOR,NW,B,1,Suriname,44,7,15,22,36,1,1,0,3,0,"$7,031,121.26",TRUE,NER,78.4,ISA,89.5,FTI,76.8,,0,,0,,0,,0,,0,30.5875,None,0,,0,,0,,0,,0,,0,0
Frank Klopas,1,44,2011,CHI,W,W,0,Greece,91,39,23,29,140,3,5,2,0,0,"$4,338,847.12",TRUE,AISL,0,GSL,80.7,MLS,69.3,FTI,76.8,,0,,0,,0,,0,28.35,MLS,69.3,,0,,0,,0,,0,,0,11.55
John Spencer,0,41,2011,POR,W,W,0,Scotland,50,15,13,22,58,2,6,4,4,0,"$3,597,950.80",TRUE,SPFL,68.4,HKFA,0,,0,MLS,69.3,FTI,76.8,,0,,0,,0,26.8125,None,0,,0,,0,,0,,0,,0,0
Robin Fraser,1,44,2011,Chivas,NW,B,1,Jamaica,68,15,21,32,66,2,2,0,4,0,"$3,748,630 ",TRUE,ASL,0,APSL,0,MLS,69.3,FTI,76.8,,0,,0,,0,,0,18.2625,MLS,69.3,,0,,0,,0,,0,,0,11.55
Teitur Thordarson,0,59,2011,VAN,W,W,0,Iceland,12,1,6,5,9,5,25,20,0,0,"$4,004,986.38",TRUE,IUS,64.8,SWA,74.2,FTI,76.8,FL1,85.1,,0,,0,,0,,0,37.6125,MLS,69.3,,0,,0,,0,,0,,0,11.55
Jay Heaps,0,36,2012,NER,W,W,0,USA,199,75,43,81,268,6,6,0,0,0,"$5,663,251.57",TRUE,MLS,69.3,FTI,76.8,EFL,75.4,,0,,0,,0,,0,,0,27.6875,None,0,,0,,0,,0,,0,,0,0
Jesse Marsch,1,39,2012,MTL,W,W,0,USA,34,12,6,16,42,1,1,0,2,0,"$4,751,369.58",TRUE,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,,0,18.2625,UPD,72.7,MLX,80,PDP,76.9,,0,,0,,0,38.26666667
John Hackworth,0,42,2012,PHI,W,W,0,USA,73,23,21,29,90,3,10,7,12,0,"$3,990,733.42",FALSE,N/A,0,,0,EPL,93.8,,0,,0,,0,,0,,0,11.725,LSL,0,,0,,0,,0,,0,,0,0
Martin Rennie,0,37,2012,VAN,W,W,0,Scotland,68,24,19,25,91,2,8,6,0,0,"$5,117,025.48",FALSE,N/A,0,,0,AISA,0,,0,,0,,0,,0,,0,0, ,0,,0,,0,,0,,0,,0,0
Oscar Pareja,1,44,2012,COL,W,W,0,Colombia,72,26,13,33,91,2,2,0,7,0,"$3,631,199.38",TRUE,CPA,78.1,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,28.025,MLSR,0,,0,,0,,0,,0,,0,0
Paul Mariner,0,59,2012,TOR,W,W,0,England,24,4,8,12,20,1,3,2,6,0,"$7,402,623.67",TRUE,EFL,75.4,EPL,93.8,,0,FTI,76.8,,0,,0,,0,,0,30.75,ISA,89.5,NER,78.4,EPL,93.8,,0,,0,,0,43.61666667
Caleb Porter,1,38,2013,POR,W,W,0,USA,170,68,52,50,256,5,11,6,5,0,"$7,031,270.20",TRUE,MLS,69.3,USL,58.4,,0,,0,,0,,0,,0,,0,15.9625,MISL,0,,0,,0,,0,,0,,0,0
Jose Luis Sanchez Sola,0,54,2013,Chivas,NW,O,0,Mexico,12,3,2,7,11,1,8,7,0,0,"$3,318,337.00",FALSE,N/A,0,,0,FTI,76.8,,0,,0,,0,,0,,0,9.6,MISL,0,MLS,69.3,,0,,0,,0,,0,11.55
Marco Schallibaum,0,51,2013,MTL,W,W,0,Switzerland,34,14,7,13,49,1,13,12,3,0,"$5,828,958 ",TRUE,SSS,77.4,FTI,76.8,EFL,75.4,,0,,0,,0,,0,,0,28.7,MLS,69.3,FTI,76.8,,0,,0,,0,,0,24.35
Mark Watson,0,43,2013,SJE,W,W,0,Canada,51,17,14,20,65,2,2,0,9,0,"$4,277,169.00",TRUE,MLS,69.3,CPL,0,,0,USL,58.4,SST,60.5,FTI,76.8,,0,,0,33.125,MLS,69.3,FTI,76.8,,0,,0,,0,,0,24.35
Mike Petke,1,37,2013,NYRB,W,W,0,USA,68,30,19,19,109,2,2,0,2,0,"$11,441,965.00",TRUE,MLS,69.3,FTI,76.8,,0,,0,,0,,0,,0,,0,18.2625,MLSR,0,,0,,0,,0,,0,,0,0
Ryan Nelsen,0,36,2013,TOR,W,W,0,New Zealand,60,15,17,28,62,2,2,0,0,0,"$11,533,026.50",TRUE,MLS,69.3,EPL,93.8,,0,NZP,43.1,FTI,76.8,,0,,0,,0,35.375,APD,80.8,APB,0,,0,,0,,0,,0,13.46666667
Carl Robinson,0,38,2014,VAN,W,W,0,Wales,165,64,42,59,234,5,5,0,2,0,"$7,677,902.20",TRUE,EFL,75.4,EPL,93.8,,0,FTI,76.8,,0,,0,,0,,0,30.75,None,0,,0,,0,,0,,0,,0,0
Frank Klopas,1,47,2014,MTL,W,W,0,Greece,40,13,14,13,53,2,7,5,0,1,"$6,980,802.50",TRUE,AISL,0,GSL,80.7,MLS,69.3,FTI,76.8,,0,,0,,0,,0,28.35,MLS,69.3,EFL,75.4,USL,58.4,,0,,0,,0,33.85
Frank Yallop,0,50,2014,CHI,W,W,0,England,63,13,24,26,63,2,15,13,3,1,"$5,063,219.50",TRUE,EFL,75.4,EPL,93.8,,0,FTI,76.8,,0,,0,,0,,0,30.75,SSL,71,FTI,76.8,PDP,76.9,APD,80.8,,0,,0,50.91666667
